date,asn,is_up_and_open,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,15169,S,uk-lnd,Google,sym,asy24,1,11176,0,11176
2022-05-01 00:00:00,15169,S,us-sea,Google,sym,asy24,1,11146,0,11146
2022-05-01 00:00:00,15177,S,us-sea,StarTouch  Inc.,asy_in,asy24,1,15,0,15
2022-05-01 00:00:00,15190,S,us-sea,Language Link (was CTS Language Link),sym,asy24,1,2,0,2
2022-05-01 00:00:00,15256,S,br-gru,Itau,Somente Descartes,asy24,1,1,1,0
2022-05-01 00:00:00,15435,,nl-ams,DELTA Fiber Nederland B.V.,sym,asy24,1,528,0,528
2022-05-01 00:00:00,15447,,nl-ams,CM.,sym,asy24,1,13,0,13
2022-05-01 00:00:00,15447,S,uk-lnd,CM.com,sym,asy24,1,13,0,13
2022-05-01 00:00:00,1547,S,uk-lnd,Tirastel,asy_in,asy24,1,145,0,145
2022-05-01 00:00:00,1547,S,nl-ams,TIRASTEL GmbH,sym,asy24,1,145,0,145
2022-05-01 00:00:00,15510,S,uk-lnd,CompuWeb Communications Services,sym,asy24,1,14,0,14
2022-05-01 00:00:00,15547,,nl-ams,netplus.ch SA,sym,asy24,1,281,0,281
2022-05-01 00:00:00,15576,S,nl-ams,nts workspace ag,sym,asy24,1,68,0,68
2022-05-01 00:00:00,15589,,nl-ams,Eutelia S.p.A.,asy_in,asy24,1,344,1,343
2022-05-01 00:00:00,15600,,nl-ams,Quickline AG,asy_out,asy24,1,321,0,321
2022-05-01 00:00:00,15605,S,nl-ams, Connesi S.p.A.,sym,asy24,1,36,0,36
2022-05-01 00:00:00,15606,S,uk-lnd,Nask,sym,asy24,1,1,0,1
2022-05-01 00:00:00,15695,S,br-gru,Expereo,asy_out,asy24,1,89,69,20
2022-05-01 00:00:00,15695,S,uk-lnd,Expereo,sym,asy24,1,89,48,41
2022-05-01 00:00:00,15695,S,nl-ams,Expereo International B.V.,sym,asy24,1,89,51,38
2022-05-01 00:00:00,15695,S,us-sea,Expereo International bv,sym,asy24,1,88,62,26
2022-05-01 00:00:00,15703,,nl-ams,True B.V.,sym,asy24,1,166,0,166
2022-05-01 00:00:00,15766,S,uk-lnd,Domicilium (IOM) Ltd.,sym,asy24,1,30,0,30
2022-05-01 00:00:00,15802,S,uk-lnd,Emirates Integrated Telecommunication,sym,asy24,1,2154,0,2154
2022-05-01 00:00:00,15802,,nl-ams,Emirates Integrated Telecommunication Company,sym,asy24,1,2154,0,2154
2022-05-01 00:00:00,15830,S,br-gru,Equinix,asy_in,asy24,1,550,549,1
2022-05-01 00:00:00,15830,,nl-ams,Equinix (Services) Ltd,sym,asy24,1,550,6,544
2022-05-01 00:00:00,15925,S,nl-ams,Nexiu GmbH,sym,asy24,1,37,0,37
2022-05-01 00:00:00,15943,,nl-ams,wilhelm.tel GmbH,sym,asy24,1,788,0,788
2022-05-01 00:00:00,15958,,nl-ams,CETIN Ltd. Belgrade,sym,asy24,1,45,0,45
2022-05-01 00:00:00,15966,S,nl-ams,Emango Internet Services BV,sym,asy24,1,5,0,5
2022-05-01 00:00:00,15967,,nl-ams, nazwa.pl,asy_in,asy24,1,48,2,46
2022-05-01 00:00:00,16080,S,nl-ams,Dalenys Payment SAS,sym,asy24,1,3,0,3
2022-05-01 00:00:00,16082,S,uk-lnd,Spitfire Network Services Ltd,sym,asy24,1,193,0,193
2022-05-01 00:00:00,16097,S,nl-ams,HL komm Telekommunikations GmbH,sym,asy24,1,200,0,200
2022-05-01 00:00:00,16265,S,nl-ams,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,16265,S,uk-lnd,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,16276,S,nl-ams,OVH,sym,asy24,1,9327,0,9327
2022-05-01 00:00:00,16276,S,us-sea,OVH,sym,asy24,1,9307,0,9307
2022-05-01 00:00:00,16276,S,uk-lnd,OVH SARL,sym,asy24,1,9303,0,9303
2022-05-01 00:00:00,16298,S,nl-ams,InterBox Internet,sym,asy24,1,11,0,11
2022-05-01 00:00:00,16303,S,uk-lnd,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,16347,,nl-ams,Adista,sym,asy24,1,229,0,229
2022-05-01 00:00:00,16353,S,uk-lnd,Merula Ltd.,sym,asy24,1,45,0,45
2022-05-01 00:00:00,16376,S,uk-lnd,SysGroup Trading Limited,sym,asy24,1,20,0,20
2022-05-01 00:00:00,16397,S,br-gru,ALOG,sym,asy24,1,210,0,210
2022-05-01 00:00:00,16406,S,us-sea,Intermedia.net  Inc.,sym,asy24,1,33,31,2
2022-05-01 00:00:00,16509,S,br-gru,Amazon,asy_out,asy24,1,69723,69719,4
2022-05-01 00:00:00,16552,S,br-gru,TIGGEE,asy_out,asy24,1,31,24,7
2022-05-01 00:00:00,16552,S,uk-lnd,TIGGEE,asy_out,asy24,1,31,23,8
2022-05-01 00:00:00,16552,S,us-sea,TIGGEE,asy_out,asy24,1,31,24,7
2022-05-01 00:00:00,16552,S,nl-ams,Tiggee Llc,asy_out,asy24,1,31,23,8
2022-05-01 00:00:00,16637,,nl-ams,MTN GlobalConnect Solutions Limited,sym,asy24,1,1154,0,1154
2022-05-01 00:00:00,16652,S,us-sea,Riseup Networks,sym,asy24,1,3,0,3
2022-05-01 00:00:00,16685,S,br-gru,Tivit,sym,asy24,1,62,0,62
2022-05-01 00:00:00,16696,S,us-sea,iTel Networks Inc.,sym,asy24,1,48,0,48
2022-05-01 00:00:00,16713,S,us-sea,Northwest Open Access Network (NoaNet),sym,asy24,1,102,0,102
2022-05-01 00:00:00,16735,S,br-poa,ALGAR TELECOM S/A,asy_out,asy24,1,1389,0,1389
2022-05-01 00:00:00,16735,S,br-gru,CTBC-2,asy_out,asy24,1,1392,0,1392
2022-05-01 00:00:00,16740,S,uk-lnd,rStor Inc,asy_out,asy24,1,6,0,6
2022-05-01 00:00:00,1680,,nl-ams,Cellcom Fixed Lines Communication LP,sym,asy24,1,1418,0,1418
2022-05-01 00:00:00,16839,S,nl-ams,ServiceNow,asy_in,asy24,1,157,105,52
2022-05-01 00:00:00,16839,S,uk-lnd,ServiceNow,asy_in,asy24,1,157,105,52
2022-05-01 00:00:00,16921,S,br-gru,Inteliglobe,asy_out,asy24,1,13,9,4
2022-05-01 00:00:00,17017,S,us-sea,Campus Colo,sym,asy24,1,4,0,4
2022-05-01 00:00:00,17088,S,uk-lnd,Currenex Ltd,sym,asy24,1,23,20,3
2022-05-01 00:00:00,17117,S,nl-ams,RITSNET INC,asy_out,asy24,1,10,3,7
2022-05-01 00:00:00,17222,S,br-gru,mundivox-v4,asy_in,asy24,1,316,315,1
2022-05-01 00:00:00,17451,S,nl-ams,Biznet Networks,sym,asy24,1,337,0,337
2022-05-01 00:00:00,17494,S,uk-lnd,Bangladesh Telecommunications Company Limited(BTCL),sym,asy24,1,39,0,39
2022-05-01 00:00:00,17557,,nl-ams,Pakistan Telecommunication Company Limited,sym,asy24,1,1515,0,1515
2022-05-01 00:00:00,17639,S,nl-ams,Converge ICT Solution Inc,sym,asy24,1,247,0,247
2022-05-01 00:00:00,1764,S,nl-ams,next layer GmbH,sym,asy24,1,93,0,93
2022-05-01 00:00:00,17660,S,uk-lnd,Bhutan Telecom Ltd,sym,asy24,1,2,0,2
2022-05-01 00:00:00,1798,S,us-sea,State of Oregon,sym,asy24,1,156,0,156
2022-05-01 00:00:00,18001,,nl-ams,Dialog Axiata PLC,sym,asy24,1,156,0,156
2022-05-01 00:00:00,18059,S,uk-lnd,PT. Dwi Tunggal Putra,asy_out,asy24,1,50,40,10
2022-05-01 00:00:00,18106,S,uk-lnd,Viewqwest,sym,asy24,1,134,0,134
2022-05-01 00:00:00,18106,S,nl-ams,Viewqwest Pte Ltd,sym,asy24,1,134,0,134
2022-05-01 00:00:00,18106,S,us-sea,VQBN INC.,sym,asy24,1,134,0,134
2022-05-01 00:00:00,1820,,nl-ams,LLC Wnet Ukraine,sym,asy24,1,80,0,80
2022-05-01 00:00:00,1828,S,nl-ams,Unitas Global,sym,asy24,1,36,0,36
2022-05-01 00:00:00,1828,S,br-gru,Unitas_Global,sym,asy24,1,36,0,36
2022-05-01 00:00:00,18283,S,uk-lnd,Chupicom Fureai Inc.,sym,asy24,1,27,0,27
2022-05-01 00:00:00,18451,S,us-sea,LES.NET (1996) INC.,sym,asy24,1,10,0,10
2022-05-01 00:00:00,18530,S,us-sea,ISOMEDIA  Inc.,sym,asy24,1,292,0,292
2022-05-01 00:00:00,18647,S,us-sea,Accel Net  Inc.,sym,asy24,1,9,0,9
2022-05-01 00:00:00,18888,S,us-sea,Zillowgroup  Inc,asy_out,asy24,1,10,3,7
2022-05-01 00:00:00,18988,S,us-sea,City West Cable & Telephone Corp.,sym,asy24,1,78,0,78
2022-05-01 00:00:00,19016,S,us-sea,Westman Communications Group,sym,asy24,1,61,0,61
2022-05-01 00:00:00,19116,S,us-sea,Washington Broadband  Inc.,sym,asy24,1,13,0,13
2022-05-01 00:00:00,1916,S,br-poa,RNP,sym,asy24,1,700,0,700
2022-05-01 00:00:00,1916,S,br-gru,RNP_S1-v4,sym,asy24,1,701,0,701
2022-05-01 00:00:00,19171,S,us-sea,Stargate Connections Inc.,sym,asy24,1,52,0,52
2022-05-01 00:00:00,19186,S,uk-lnd,GMCHosting,Híbrido,asy24,1,2,0,2
2022-05-01 00:00:00,19186,S,us-sea,GMCHosting LLC,asy_out,asy24,1,2,0,2
2022-05-01 00:00:00,19200,S,br-poa,UFRGS,sym,asy24,1,131,0,131
2022-05-01 00:00:00,1921,S,uk-lnd,nic.at GmbH,sym,asy24,1,3,0,3
2022-05-01 00:00:00,19518,S,us-sea,Rock Island Communications,sym,asy24,1,15,0,15
2022-05-01 00:00:00,19551,S,us-sea,Imperva Incapsula,asy_out,asy24,1,102,86,16
2022-05-01 00:00:00,19551,S,uk-lnd,Imperva UK Ltd,Híbrido,asy24,1,102,73,29
2022-05-01 00:00:00,19551,,nl-ams,Incapsula Inc.,Híbrido,asy24,1,102,72,30
2022-05-01 00:00:00,19551,S,br-gru,incapsula-v4,asy_out,asy24,1,102,87,15
2022-05-01 00:00:00,19611,S,br-poa,UNISINOS,sym,asy24,1,57,0,57
2022-05-01 00:00:00,19653,S,us-sea,CTS Telecom,sym,asy24,1,84,0,84
2022-05-01 00:00:00,19662,S,us-sea,Uniserve Communications Corp.,sym,asy24,1,102,0,102
2022-05-01 00:00:00,196752,S,nl-ams,Tilaa,sym,asy24,1,46,0,46
