date,asn,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,12731,nl-ams,IPHH Internet Port Hamburg GmbH,sym,asy23,1,31,0,31
2022-05-01 00:00:00,12731,nl-ams,IPHH Internet Port Hamburg GmbH,sym,asy24,1,31,0,31
2022-05-01 00:00:00,12759,nl-ams,SOCO Network Solutions GmbH,asy_out,any23,1,59,0,59
2022-05-01 00:00:00,12759,uk-lnd,SOCO Network Solutions GmbH,asy_out,any23,1,59,0,59
2022-05-01 00:00:00,12759,nl-ams,SOCO Network Solutions GmbH,asy_out,asy23,1,59,0,59
2022-05-01 00:00:00,12759,uk-lnd,SOCO Network Solutions GmbH,asy_out,asy23,1,59,0,59
2022-05-01 00:00:00,12759,nl-ams,SOCO Network Solutions GmbH,sym,any24,1,59,0,59
2022-05-01 00:00:00,12759,uk-lnd,SOCO Network Solutions GmbH,sym,any24,1,59,0,59
2022-05-01 00:00:00,12759,nl-ams,SOCO Network Solutions GmbH,sym,asy24,1,59,0,59
2022-05-01 00:00:00,12759,uk-lnd,SOCO Network Solutions GmbH,sym,asy24,1,59,0,59
2022-05-01 00:00:00,12779,nl-ams,IT.Gate S.p.A.,sym,any23,1,43,0,43
2022-05-01 00:00:00,12779,nl-ams,IT.Gate S.p.A.,sym,any24,1,43,0,43
2022-05-01 00:00:00,12779,nl-ams,IT.Gate S.p.A.,sym,asy23,1,43,0,43
2022-05-01 00:00:00,12779,nl-ams,IT.Gate S.p.A.,sym,asy24,1,43,0,43
2022-05-01 00:00:00,12850,nl-ams,Enter,asy_out,any23,1,69,4,65
2022-05-01 00:00:00,12850,uk-lnd,Enter,asy_out,any23,1,69,1,68
2022-05-01 00:00:00,12850,nl-ams,Enter,asy_out,asy23,1,69,4,65
2022-05-01 00:00:00,12850,uk-lnd,Enter,asy_out,asy23,1,69,1,68
2022-05-01 00:00:00,12850,nl-ams,Enter,sym,any24,1,69,0,69
2022-05-01 00:00:00,12850,uk-lnd,Enter,sym,any24,1,69,0,69
2022-05-01 00:00:00,12850,nl-ams,Enter,sym,asy24,1,69,0,69
2022-05-01 00:00:00,12850,uk-lnd,Enter,sym,asy24,1,69,0,69
2022-05-01 00:00:00,12859,uk-lnd,BIT BV,asy_out,any23,1,127,1,126
2022-05-01 00:00:00,12859,uk-lnd,BIT BV,asy_out,asy23,1,127,1,126
2022-05-01 00:00:00,12859,nl-ams,BIT BV,sym,any23,1,127,0,127
2022-05-01 00:00:00,12859,nl-ams,BIT BV,sym,any24,1,127,0,127
2022-05-01 00:00:00,12859,uk-lnd,BIT BV,sym,any24,1,127,0,127
2022-05-01 00:00:00,12859,nl-ams,BIT BV,sym,asy23,1,127,0,127
2022-05-01 00:00:00,12859,nl-ams,BIT BV,sym,asy24,1,127,0,127
2022-05-01 00:00:00,12859,uk-lnd,BIT BV,sym,asy24,1,127,0,127
2022-05-01 00:00:00,12874,nl-ams,FASTWEB S.p.A.,asy_out,any23,1,5339,10,5329
